id,email,first_name,last_name,account_tier,account_status,company_name,company_size,industry,uses_cloud_sync,uses_team_chat,uses_data_hub,country_code,timezone,created_at,updated_at,last_login_at,trial_started_at,trial_ended_at,signup_source,utm_source,utm_medium,utm_campaign,referral_code,is_test_user,is_internal_user,email_verified,phone_verified,deleted_at
11,daniel62@example.com,Aaron,Bowen,free,active,"Baker, Mason and White",201-500,Manufacturing,False,True,True,CD,Asia/Aden,2023-03-26T03:38:53,2023-03-26T03:38:53,2025-07-06T05:49:48,2023-03-26T03:38:53,,api,direct,organic,campaign_3,,False,False,True,False,
12,ericfarmer@example.net,Stephanie,Nielsen,free,active,George Group,11-50,Finance,False,False,False,AM,Africa/Brazzaville,2025-04-19T18:34:44,2025-04-19T18:34:44,2025-09-22T12:32:43,2025-04-19T18:34:44,,website,direct,email,campaign_15,,False,False,True,True,
13,john39@example.org,Christopher,Tucker,enterprise,inactive,Spence PLC,11-50,Healthcare,True,True,True,CN,Asia/Urumqi,2025-10-25T04:21:03,2025-10-25T04:21:03,2025-10-30T17:33:20,,,referral,google,cpc,campaign_6,,False,False,True,False,
14,josephbrennan@example.com,Tamara,Hickman,starter,active,"Vaughn, Marquez and Ross",500+,Technology,False,False,False,SV,Africa/Bangui,2025-06-03T23:02:19,2025-06-03T23:02:19,2025-10-03T23:26:40,,,api,direct,email,campaign_3,,False,False,True,False,
15,clam@example.org,John,Brown,starter,suspended,Chapman and Sons,11-50,Healthcare,True,True,False,TZ,Africa/Conakry,2025-04-15T04:27:48,2025-04-15T04:27:48,2025-10-02T08:38:22,2025-04-15T04:27:48,2025-04-29T04:27:48,website,referral,email,campaign_4,REF3200,False,False,True,True,
16,zimmermanbrian@example.org,Rebecca,Heath,professional,suspended,Palmer LLC,500+,Finance,False,True,False,SV,Europe/Samara,2023-08-30T11:31:05,2023-08-30T11:31:05,2024-09-23T13:59:48,2023-08-30T11:31:05,2023-09-13T11:31:05,website,direct,email,campaign_2,,False,False,True,False,
17,jenniferkhan@example.net,Thomas,Mueller,enterprise,active,Lee-Davis,1-10,Technology,True,True,False,NR,Pacific/Kwajalein,2024-11-17T08:49:18,2024-11-17T08:49:18,2025-03-12T09:29:23,2024-11-17T08:49:18,,api,google,email,campaign_7,,False,False,True,False,
18,uowens@example.org,Emily,Joyce,starter,inactive,Brown Ltd,11-50,Finance,False,True,True,LU,Africa/Kinshasa,2024-09-23T06:50:49,2024-09-23T06:50:49,2025-06-08T07:13:58,2024-09-23T06:50:49,,referral,linkedin,organic,campaign_4,,False,False,True,False,
19,jameswest@example.com,Isaiah,Ford,professional,suspended,Ramos PLC,11-50,Finance,True,True,False,BZ,Europe/Brussels,2024-12-16T01:20:54,2024-12-16T01:20:54,2025-02-07T23:26:41,2024-12-16T01:20:54,,mobile_app,referral,email,campaign_1,,False,False,True,True,
20,housemelinda@example.org,Richard,Olson,free,active,Barrera-Martin,500+,Retail,False,False,False,AD,Africa/Blantyre,2024-02-17T09:18:12,2024-02-17T09:18:12,2025-03-20T14:55:12,,2024-03-02T09:18:12,referral,linkedin,cpc,campaign_14,,False,False,True,True,
21,smitchell@example.net,Wendy,Peters,starter,suspended,"Tucker, Lee and Robinson",201-500,Technology,False,False,True,BG,America/Port_of_Spain,2025-11-07T18:50:34,2025-11-07T18:50:34,2025-12-06T22:38:39,2025-11-07T18:50:34,2025-11-21T18:50:34,api,direct,email,campaign_18,,False,False,True,True,
22,brian97@example.net,Samantha,Schmidt,professional,churned,Yu Inc,500+,Technology,False,False,True,ER,Africa/Porto-Novo,2023-09-28T08:12:34,2023-09-28T08:12:34,2025-02-09T22:31:53,2023-09-28T08:12:34,,referral,referral,social,campaign_6,,False,False,True,True,
23,richarddavid@example.net,John,Wheeler,starter,suspended,"Miller, Sandoval and Cunningham",11-50,Finance,True,True,True,KW,Asia/Jerusalem,2023-05-26T01:43:37,2023-05-26T01:43:37,2025-06-02T04:05:37,2023-05-26T01:43:37,2023-06-09T01:43:37,mobile_app,direct,organic,campaign_13,,False,False,True,False,
24,john62@example.net,Debbie,Bryant,enterprise,inactive,Smith PLC,11-50,Manufacturing,False,True,True,TM,America/Belize,2023-06-15T13:51:44,2023-06-15T13:51:44,2023-12-21T02:26:19,2023-06-15T13:51:44,2023-06-29T13:51:44,api,direct,social,campaign_18,,False,False,True,False,
25,williamanderson@example.com,Nicole,Suarez,professional,churned,Mitchell-Kim,11-50,Healthcare,False,True,False,ST,Africa/Casablanca,2024-01-20T01:45:55,2024-01-20T01:45:55,2024-10-06T22:25:01,2024-01-20T01:45:55,2024-02-03T01:45:55,referral,facebook,organic,campaign_13,,False,False,True,False,
26,contrerasangela@example.net,Dale,Humphrey,enterprise,churned,Wilson-Rodriguez,1-10,Finance,False,False,True,TG,Europe/Berlin,2025-04-22T22:00:34,2025-04-22T22:00:34,2025-12-02T11:49:56,2025-04-22T22:00:34,,api,linkedin,social,campaign_14,,False,False,True,True,
27,cassandra53@example.net,Cynthia,Baker,starter,suspended,King-Odonnell,201-500,Retail,True,False,False,BF,Africa/Gaborone,2025-01-28T10:30:51,2025-01-28T10:30:51,2025-12-04T09:44:23,2025-01-28T10:30:51,,mobile_app,facebook,cpc,campaign_13,,False,False,True,False,
28,bradley52@example.net,Tina,Martin,starter,active,Arnold-Patterson,51-200,Retail,False,True,False,AG,Africa/Brazzaville,2024-12-18T05:21:56,2024-12-18T05:21:56,2025-10-08T16:47:25,,2025-01-01T05:21:56,mobile_app,linkedin,cpc,campaign_16,,False,False,True,False,
29,amydavenport@example.net,Angela,Jordan,free,active,Parker Inc,1-10,Finance,True,True,True,MK,Asia/Tbilisi,2025-10-06T23:07:43,2025-10-06T23:07:43,2026-01-06T22:04:59,2025-10-06T23:07:43,2025-10-20T23:07:43,referral,direct,email,campaign_12,,False,False,True,False,
30,gomezanita@example.com,Terri,Brady,professional,active,Hancock and Sons,500+,Technology,False,False,False,NG,America/Argentina/Jujuy,2023-09-12T09:37:54,2023-09-12T09:37:54,2024-07-16T11:54:06,,2023-09-26T09:37:54,referral,google,email,campaign_20,REF1672,False,False,True,False,
31,kimberly63@example.com,Erik,Haynes,professional,active,Brennan-Garrison,201-500,Retail,True,False,False,GN,Europe/Paris,2025-02-24T23:35:07,2025-02-24T23:35:07,2026-01-12T19:41:50,2025-02-24T23:35:07,,referral,referral,email,campaign_20,REF9817,False,False,True,True,
32,kevin33@example.org,Donna,Ross,professional,suspended,Lin-Rasmussen,11-50,Technology,False,False,True,IT,Indian/Antananarivo,2025-07-09T09:03:17,2025-07-09T09:03:17,2025-12-03T13:29:27,2025-07-09T09:03:17,,api,facebook,social,campaign_7,,False,False,True,False,
33,sheila14@example.org,Beverly,Terrell,free,inactive,Rodriguez Group,1-10,Finance,False,False,True,LY,Africa/Johannesburg,2024-03-05T04:02:20,2024-03-05T04:02:20,2025-07-19T20:32:29,2024-03-05T04:02:20,,website,google,email,campaign_8,,False,False,True,False,
34,gobrien@example.org,Paul,Ray,professional,churned,Williams-Graham,500+,Healthcare,False,False,False,SK,Africa/Mogadishu,2025-05-09T18:58:02,2025-05-09T18:58:02,2025-08-07T07:44:15,,,website,referral,organic,campaign_7,,False,False,True,True,
35,ryan59@example.com,Elizabeth,Martinez,professional,active,Hunter-Estrada,11-50,Healthcare,True,False,True,LR,Africa/Windhoek,2025-03-25T23:52:48,2025-03-25T23:52:48,2025-12-25T23:05:26,2025-03-25T23:52:48,,website,referral,email,campaign_5,,False,False,True,False,
36,jamesortega@example.com,Erica,Orr,enterprise,churned,"Carroll, Sullivan and Bass",201-500,Healthcare,True,True,False,KI,Asia/Amman,2024-03-17T16:56:18,2024-03-17T16:56:18,2025-03-23T18:27:21,,,mobile_app,google,cpc,campaign_5,,False,False,True,True,
37,mfloyd@example.net,Marco,Ramos,enterprise,inactive,"Lewis, Kennedy and Santana",500+,Retail,False,False,False,LK,America/Santo_Domingo,2023-07-04T00:11:39,2023-07-04T00:11:39,2025-04-30T04:07:45,2023-07-04T00:11:39,2023-07-18T00:11:39,website,facebook,organic,campaign_9,,False,False,True,False,
38,zachary95@example.org,Loretta,Potter,enterprise,churned,"Collins, Drake and Hernandez",500+,Retail,False,True,True,BD,America/Tegucigalpa,2023-01-05T03:45:29,2023-01-05T03:45:29,2024-03-19T08:15:46,2023-01-05T03:45:29,,referral,linkedin,organic,campaign_14,,False,False,True,False,
39,gibsonolivia@example.net,James,Horton,free,active,Ross-Hernandez,11-50,Healthcare,False,False,True,FM,Asia/Kabul,2023-08-09T22:57:11,2023-08-09T22:57:11,2024-11-24T08:17:39,2023-08-09T22:57:11,2023-08-23T22:57:11,mobile_app,direct,cpc,campaign_20,,False,False,True,False,
40,zrobinson@example.net,April,Williams,starter,active,Lowery Inc,51-200,Education,True,True,False,PH,America/Costa_Rica,2023-05-22T20:54:47,2023-05-22T20:54:47,2025-04-08T20:25:12,2023-05-22T20:54:47,,mobile_app,direct,cpc,campaign_16,,False,False,True,True,
41,stephanie79@example.net,Patricia,Simmons,enterprise,churned,"Griffin, Moore and Hensley",51-200,Manufacturing,False,True,False,PG,Asia/Jerusalem,2024-05-27T07:58:18,2024-05-27T07:58:18,,,,mobile_app,referral,cpc,campaign_18,,False,False,True,True,
42,katie87@example.net,John,Gonzales,enterprise,active,"Mitchell, Nelson and Flores",11-50,Healthcare,True,False,False,SR,America/Fortaleza,2025-02-13T09:10:11,2025-02-13T09:10:11,2025-08-20T15:00:40,,2025-02-27T09:10:11,referral,facebook,email,campaign_18,,False,False,True,True,
43,jessebenson@example.net,Jason,Perry,enterprise,active,Daniels-Perry,11-50,Retail,False,False,False,GA,Europe/Amsterdam,2023-06-26T06:08:13,2023-06-26T06:08:13,2025-06-28T19:45:59,,2023-07-10T06:08:13,mobile_app,facebook,organic,campaign_3,,False,False,True,True,
44,gateskathy@example.com,Thomas,Bender,professional,active,Molina-Castaneda,51-200,Manufacturing,False,False,True,NL,Africa/Mogadishu,2025-02-27T17:49:57,2025-02-27T17:49:57,2025-09-03T20:13:17,2025-02-27T17:49:57,2025-03-13T17:49:57,mobile_app,direct,email,campaign_7,REF4912,False,False,True,True,
45,brobinson@example.com,Anthony,Rogers,professional,churned,"Yates, Ramsey and Pittman",201-500,Retail,True,False,True,CN,Pacific/Efate,2023-03-09T19:17:21,2023-03-09T19:17:21,2025-09-11T14:48:37,2023-03-09T19:17:21,,mobile_app,google,social,campaign_1,REF7717,False,False,True,False,
46,qvargas@example.org,Christopher,Patterson,professional,churned,White-Green,1-10,Healthcare,False,False,False,LR,Africa/Accra,2024-02-16T16:45:55,2024-02-16T16:45:55,2024-03-15T13:58:22,2024-02-16T16:45:55,,api,facebook,cpc,campaign_14,REF2646,False,False,True,True,
47,matthew64@example.com,Johnny,Miller,professional,active,Curry Inc,51-200,Healthcare,False,False,True,MG,Europe/Athens,2023-03-13T10:40:03,2023-03-13T10:40:03,2024-12-12T13:04:12,2023-03-13T10:40:03,2023-03-27T10:40:03,referral,facebook,cpc,campaign_20,REF4945,False,False,True,False,
48,websterstefanie@example.org,Mary,Howell,professional,churned,Martinez Ltd,51-200,Manufacturing,True,False,False,CI,Asia/Ashgabat,2025-09-17T22:48:30,2025-09-17T22:48:30,2025-10-18T15:01:41,,2025-10-01T22:48:30,api,direct,email,campaign_15,REF4263,False,False,True,False,
49,xlyons@example.com,Gary,Lawson,professional,suspended,"Higgins, Strickland and Martin",51-200,Technology,False,False,True,KR,Africa/Kinshasa,2024-08-15T10:17:29,2024-08-15T10:17:29,2024-09-22T12:32:32,2024-08-15T10:17:29,2024-08-29T10:17:29,api,facebook,email,campaign_8,,False,False,True,True,
50,barbara66@example.net,James,Vargas,starter,active,"Sanchez, Terry and Turner",1-10,Healthcare,False,True,False,LA,America/Kentucky/Monticello,2025-10-21T00:04:08,2025-10-21T00:04:08,2025-10-29T18:05:41,2025-10-21T00:04:08,,mobile_app,facebook,organic,campaign_5,REF6994,False,False,True,True,
51,reedross@example.com,Casey,Holland,enterprise,suspended,Atkinson Group,51-200,Technology,False,True,True,CD,Pacific/Nauru,2024-02-04T04:32:20,2024-02-04T04:32:20,2024-07-28T10:18:05,2024-02-04T04:32:20,2024-02-18T04:32:20,mobile_app,referral,email,campaign_3,REF1228,False,False,True,False,
52,bzimmerman@example.org,Jessica,Sheppard,professional,churned,Gilbert-Gillespie,51-200,Technology,True,False,True,RO,Atlantic/Madeira,2025-11-10T10:40:54,2025-11-10T10:40:54,2026-01-03T22:51:20,2025-11-10T10:40:54,2025-11-24T10:40:54,website,direct,email,campaign_14,,False,False,False,True,
53,marcus31@example.com,Nicole,Sanchez,free,inactive,Hudson-Barnett,500+,Finance,False,False,False,LU,Europe/Vienna,2023-06-30T09:17:07,2023-06-30T09:17:07,2025-10-16T13:07:16,2023-06-30T09:17:07,2023-07-14T09:17:07,referral,direct,cpc,campaign_16,,False,False,True,True,
54,hunter35@example.com,Matthew,Beard,enterprise,churned,"Beard, Peters and Black",11-50,Healthcare,True,False,False,ET,America/Nassau,2023-12-04T12:24:03,2023-12-04T12:24:03,,,2023-12-18T12:24:03,mobile_app,google,organic,campaign_20,REF1828,False,False,True,False,
55,wfreeman@example.org,Hannah,Brewer,starter,active,West-Smith,500+,Finance,True,True,False,KE,Africa/Conakry,2025-05-27T00:59:33,2025-05-27T00:59:33,2026-01-13T11:56:38,,2025-06-10T00:59:33,referral,facebook,email,campaign_6,,False,False,True,False,
56,kevinperkins@example.com,Angela,Cooper,professional,active,"Pierce, Bell and Chavez",11-50,Healthcare,True,True,False,KP,Asia/Pontianak,2024-01-05T14:43:59,2024-01-05T14:43:59,2025-08-06T18:56:28,,,api,referral,cpc,campaign_15,,False,False,False,True,
57,griffithleslie@example.net,Amanda,Gill,professional,churned,Lee Ltd,1-10,Technology,False,False,False,RO,Atlantic/Reykjavik,2025-10-20T13:41:13,2025-10-20T13:41:13,2025-12-07T04:05:46,2025-10-20T13:41:13,,website,linkedin,organic,campaign_3,,False,False,True,True,
58,wallkenneth@example.com,Harry,Smith,professional,churned,"Martinez, Williams and Brown",500+,Education,False,True,True,JP,Europe/Monaco,2024-08-14T17:08:42,2024-08-14T17:08:42,2026-01-02T07:06:39,2024-08-14T17:08:42,2024-08-28T17:08:42,referral,direct,social,campaign_8,,False,False,True,True,
59,agarcia@example.net,Justin,Mendoza,enterprise,suspended,Lopez-Williams,51-200,Healthcare,True,False,True,QA,Africa/Abidjan,2024-04-30T12:38:49,2024-04-30T12:38:49,,,,api,facebook,cpc,campaign_19,REF6400,False,False,True,True,
60,kvasquez@example.net,Glenda,Hernandez,free,suspended,"Avery, Miller and Wright",500+,Healthcare,False,True,True,TH,America/Managua,2024-10-19T00:13:43,2024-10-19T00:13:43,2025-10-28T12:53:25,,,api,google,email,campaign_19,,False,False,True,True,
61,chayes@example.com,Michelle,Branch,free,suspended,Carroll-Brown,1-10,Finance,False,False,False,SZ,America/Belize,2025-08-23T19:32:36,2025-08-23T19:32:36,2025-09-28T00:57:16,2025-08-23T19:32:36,2025-09-06T19:32:36,mobile_app,google,organic,campaign_1,,False,False,True,False,
62,josephmiller@example.org,Glenn,Jones,professional,suspended,Ortiz Ltd,51-200,Education,True,True,True,UG,Pacific/Palau,2023-09-02T12:38:35,2023-09-02T12:38:35,2023-11-18T19:55:23,2023-09-02T12:38:35,,mobile_app,direct,social,campaign_14,,False,False,True,False,
63,halljasmine@example.net,Michele,Jones,enterprise,suspended,Bradshaw Ltd,1-10,Finance,False,True,True,TZ,Europe/Zagreb,2024-03-16T00:11:37,2024-03-16T00:11:37,2024-08-27T01:52:49,2024-03-16T00:11:37,2024-03-30T00:11:37,api,linkedin,cpc,campaign_1,,False,False,True,False,
64,owilson@example.net,Edward,Baker,professional,active,Jones and Sons,201-500,Manufacturing,True,False,True,KP,Africa/Kampala,2023-12-24T11:08:57,2023-12-24T11:08:57,2024-02-22T22:36:48,2023-12-24T11:08:57,2024-01-07T11:08:57,mobile_app,direct,email,campaign_4,,False,False,True,True,
65,smartinez@example.com,Holly,Bender,professional,active,"Fernandez, Kim and George",201-500,Technology,True,False,False,NR,Asia/Colombo,2024-12-15T17:39:20,2024-12-15T17:39:20,2025-10-19T03:16:53,2024-12-15T17:39:20,2024-12-29T17:39:20,referral,linkedin,organic,campaign_3,,False,False,True,True,
66,anthony39@example.net,Stephanie,Key,professional,inactive,"Underwood, Johnston and Hines",11-50,Technology,True,False,True,EC,Pacific/Palau,2024-06-26T17:39:14,2024-06-26T17:39:14,2024-10-23T11:21:11,2024-06-26T17:39:14,2024-07-10T17:39:14,referral,direct,social,campaign_19,REF8354,False,False,True,True,
67,howard96@example.net,Lisa,Costa,professional,suspended,Bailey-Cook,11-50,Retail,True,False,False,SV,America/Blanc-Sablon,2025-08-28T03:51:34,2025-08-28T03:51:34,2025-10-20T11:55:53,2025-08-28T03:51:34,,website,linkedin,social,campaign_15,,False,False,True,True,
68,robert74@example.net,Sierra,Cervantes,enterprise,churned,"Johnson, Miller and King",500+,Education,True,False,True,CI,Africa/Windhoek,2023-05-21T06:29:51,2023-05-21T06:29:51,2025-05-29T03:13:58,2023-05-21T06:29:51,2023-06-04T06:29:51,mobile_app,google,email,campaign_3,,False,False,True,False,
69,mgutierrez@example.net,Michael,Avila,starter,suspended,"Ramos, Williams and Adams",51-200,Healthcare,False,False,False,CO,Asia/Amman,2024-11-13T14:49:54,2024-11-13T14:49:54,2024-12-24T06:59:44,2024-11-13T14:49:54,2024-11-27T14:49:54,website,linkedin,cpc,campaign_18,,False,False,True,True,
70,omartinez@example.net,Lauren,Mckinney,starter,suspended,Pierce-Tran,1-10,Education,True,False,False,BW,Europe/Athens,2025-07-25T06:18:53,2025-07-25T06:18:53,2025-12-07T21:28:02,2025-07-25T06:18:53,,website,linkedin,social,campaign_11,REF9624,False,False,True,False,
71,pvalentine@example.org,Tyrone,Moran,professional,suspended,"Thornton, Perry and Olson",11-50,Finance,False,False,True,PW,America/Tegucigalpa,2023-01-29T07:41:01,2023-01-29T07:41:01,2023-08-31T00:29:30,,,website,referral,cpc,campaign_11,REF3147,False,False,True,False,
72,patrickweeks@example.net,Julie,Taylor,starter,churned,Hill Group,1-10,Retail,False,True,False,LV,Africa/Khartoum,2025-12-12T07:09:27,2025-12-12T07:09:27,2026-01-17T19:45:24,2025-12-12T07:09:27,,referral,linkedin,social,campaign_7,,False,False,True,False,
73,campbellkenneth@example.net,Bethany,Keller,enterprise,churned,Griffin Group,11-50,Finance,True,False,True,LY,Europe/Vilnius,2024-03-13T17:12:41,2024-03-13T17:12:41,2026-01-21T15:55:56,2024-03-13T17:12:41,2024-03-27T17:12:41,website,linkedin,cpc,campaign_6,,False,False,True,False,
74,mcantu@example.net,John,Reyes,enterprise,suspended,Williams-Garner,1-10,Retail,True,False,False,MA,Indian/Mauritius,2023-12-11T22:10:36,2023-12-11T22:10:36,2026-01-22T09:28:22,,,api,google,email,campaign_5,,False,False,True,True,
75,tylerjohnson@example.net,Tammy,Rivera,enterprise,churned,Sawyer Group,500+,Technology,True,True,False,BZ,Africa/Freetown,2023-08-04T14:33:59,2023-08-04T14:33:59,2024-03-23T21:03:42,2023-08-04T14:33:59,2023-08-18T14:33:59,mobile_app,google,email,campaign_8,,False,False,True,True,
76,bowenrobert@example.net,Tara,Jones,free,active,Morgan-Schwartz,201-500,Education,True,True,True,CF,America/Eirunepe,2024-12-11T02:25:51,2024-12-11T02:25:51,2024-12-12T07:35:31,2024-12-11T02:25:51,,mobile_app,facebook,cpc,campaign_17,REF2108,False,False,True,True,
77,melissa86@example.com,Courtney,Clay,free,churned,Brennan-Johnson,201-500,Technology,False,False,False,BJ,Africa/Bissau,2025-02-27T13:32:30,2025-02-27T13:32:30,2025-07-16T05:53:52,2025-02-27T13:32:30,,website,referral,email,campaign_5,,False,False,True,False,
78,juliehamilton@example.org,Kathleen,Padilla,enterprise,churned,Wallace Ltd,11-50,Finance,True,False,True,KG,Europe/Vienna,2025-11-29T14:48:58,2025-11-29T14:48:58,2025-12-03T20:53:31,2025-11-29T14:48:58,2025-12-13T14:48:58,api,linkedin,social,campaign_18,,False,False,True,False,
79,laura45@example.com,Ryan,Sanchez,professional,suspended,Knight-Sparks,1-10,Healthcare,False,False,False,DO,America/Guayaquil,2023-03-16T06:15:48,2023-03-16T06:15:48,2024-11-05T21:25:30,2023-03-16T06:15:48,,mobile_app,linkedin,email,campaign_3,REF2293,False,False,True,False,
80,pharvey@example.com,Roberta,Thomas,professional,active,Little-Stevens,1-10,Healthcare,False,False,False,TL,America/Antigua,2024-04-01T08:24:21,2024-04-01T08:24:21,2025-02-26T07:47:06,,,mobile_app,google,email,campaign_20,REF5498,False,False,True,False,
81,erica21@example.com,Sierra,Huerta,enterprise,suspended,Fowler-Coleman,500+,Manufacturing,True,True,True,ID,Asia/Manila,2025-11-08T15:32:56,2025-11-08T15:32:56,2026-01-13T11:36:37,2025-11-08T15:32:56,,website,facebook,email,campaign_12,,False,False,True,True,
82,yvonnecastaneda@example.org,John,Armstrong,professional,churned,"Phillips, Lyons and Johnson",1-10,Education,True,False,False,KM,Asia/Kuching,2024-07-30T06:33:33,2024-07-30T06:33:33,2025-03-03T17:42:46,,,referral,direct,social,campaign_18,,False,False,True,False,
83,knightgina@example.net,Teresa,Lozano,professional,churned,"Crawford, Strong and Mitchell",11-50,Technology,True,True,False,GT,Asia/Tashkent,2025-08-08T12:26:05,2025-08-08T12:26:05,2025-12-25T00:58:45,2025-08-08T12:26:05,,api,linkedin,cpc,campaign_18,,False,False,True,True,
84,danaoliver@example.net,Karla,Saunders,starter,suspended,"Massey, Fuller and Berger",500+,Finance,True,True,True,KH,America/Barbados,2025-12-23T18:03:57,2025-12-23T18:03:57,2026-01-16T17:38:35,,2026-01-06T18:03:57,api,direct,organic,campaign_20,REF2077,False,False,True,True,
85,xjohnson@example.net,David,Browning,enterprise,churned,Burgess-Thompson,500+,Technology,True,False,True,CO,America/Paramaribo,2025-03-27T15:21:16,2025-03-27T15:21:16,2025-12-16T18:25:46,2025-03-27T15:21:16,,referral,facebook,social,campaign_17,REF1907,False,False,True,False,
86,maria47@example.com,Julie,Morgan,professional,inactive,Mcdonald Inc,51-200,Education,False,True,False,CV,Asia/Taipei,2023-09-09T14:33:57,2023-09-09T14:33:57,2026-01-12T07:25:20,,2023-09-23T14:33:57,website,referral,organic,campaign_19,REF3526,False,False,True,True,
87,zcoffey@example.net,Michael,Gibbs,free,active,Baker Inc,1-10,Technology,False,True,False,PH,Asia/Choibalsan,2024-06-08T11:22:13,2024-06-08T11:22:13,2024-07-01T23:56:25,2024-06-08T11:22:13,2024-06-22T11:22:13,api,linkedin,social,campaign_8,REF7653,False,False,True,False,
88,brenda51@example.net,Jesus,Johnson,enterprise,churned,"Murphy, Bishop and Holland",201-500,Finance,False,True,False,ZW,Europe/Warsaw,2024-11-13T21:40:51,2024-11-13T21:40:51,2025-07-19T22:10:11,2024-11-13T21:40:51,2024-11-27T21:40:51,mobile_app,facebook,email,campaign_17,,False,False,True,False,
89,cwilson@example.org,Kevin,Vasquez,starter,active,Young PLC,1-10,Healthcare,False,False,True,CR,Africa/Blantyre,2024-01-21T03:05:09,2024-01-21T03:05:09,2025-12-21T23:22:43,,,api,facebook,organic,campaign_16,REF8648,False,False,True,False,
90,ellen86@example.net,Julia,Moore,enterprise,inactive,Pena-Bass,11-50,Education,False,True,True,VE,Africa/Niamey,2024-09-02T21:07:52,2024-09-02T21:07:52,2025-12-10T23:41:17,2024-09-02T21:07:52,2024-09-16T21:07:52,mobile_app,linkedin,cpc,campaign_4,,False,False,True,True,
91,vaughnjeff@example.com,Stephanie,Foley,free,churned,Pollard LLC,1-10,Education,True,False,False,ST,Asia/Phnom_Penh,2024-07-22T11:08:00,2024-07-22T11:08:00,,2024-07-22T11:08:00,2024-08-05T11:08:00,api,referral,cpc,campaign_5,REF7453,False,False,True,False,
92,sandersjames@example.org,Stacy,Holloway,starter,inactive,Bates Ltd,500+,Education,False,True,True,DZ,Africa/Kampala,2024-07-21T22:47:36,2024-07-21T22:47:36,,2024-07-21T22:47:36,2024-08-04T22:47:36,mobile_app,facebook,organic,campaign_11,REF6218,False,False,True,True,
93,buchananjohn@example.org,Kristin,Harris,professional,churned,"Clark, Robinson and Kane",500+,Healthcare,False,True,False,LS,Asia/Nicosia,2024-04-09T20:15:53,2024-04-09T20:15:53,2024-07-03T23:26:32,2024-04-09T20:15:53,2024-04-23T20:15:53,website,referral,social,campaign_9,REF4728,False,False,True,False,
